Station ID,Kecamatan,Last Update,AQI,Dominant Pollutant,PM10,PM25,CO,NO2,SO2,O3
416785,Tangerang Selatan Serpong,2025-12-02 11:00:00,84,pm25,24,84,0,9,8,8
472489,Kota Cilegon Pulomerak,2025-12-02 11:00:00,82,pm25,32,82,0,22,19,1
416860,Bandung Cihapit,2025-12-02 11:00:00,8,pm25,34,81,0,31,33,8
472675,Kabupaten Kendal Tunggulrejo,2025-12-02 11:00:00,68,pm25,7,29,0,49,13,68
416908,Solo Manahan,2025-12-02 11:00:00,48,pm25,11,48,0,6,59,11
420154,Surabaya Tandes,2025-12-02 11:00:00,97,pm25,42,97,0,0,26,1
416857,Depok Pancoran Mas,2025-12-02 11:00:00,90,pm25,27,90,0,13,2,28
416821,Serang Sumurpecung,2025-12-02 11:00:00,51,pm25,34,51,0,26,24,33
531553,Kabupaten Purwakarta Purnawarman,2025-12-02 11:00:00,41,pm25,12,41,0,4,5,13
506572,Ngaliyan - Nafas,2025-12-02 11:58:53,77,pm25,22,77,null,null,null,null
519043,Kabupaten Sragen Plumbungan,2025-12-02 11:00:00,127,pm25,48,127,0,10,6,27
519187,Kota Kediri Ngronggo,2025-12-02 11:00:00,45,pm25,13,45,0,9,8,14
544657,Kabupaten Bogor Cisarua,2025-12-02 11:00:00,43,pm25,4,13,0,41,46,43
472489,Kota Cilegon Pulomerak,2025-12-02 11:00:00,82,pm25,32,82,0,22,19,1
519145,Kabupaten Sukabumi Pelabuhanratu,2025-12-02 11:00:00,40,pm25,13,40,0,4,5,22
472450,Kabupaten Semarang Candirejo,2025-12-02 11:00:00,30,pm25,10,30,0,17,6,13
519112,Kabupaten Banyuwangi Mojopanggung,2025-12-02 11:00:00,44,pm25,17,44,0,4,5,22
472486,Kabupaten Bogor Leuwiliang,2025-12-02 11:00:00,60,pm25,27,60,0,1,5,51
472492,Kabupaten Indramayu Margadadi,2025-12-02 11:00:00,67,pm25,23,67,0,7,7,18
472585,Kabupaten Cilacap Sidakaya,2025-12-02 11:00:00,18,pm25,1,4,0,27,16,18
532009,Kota Probolinggo Kedopok,2025-12-02 11:00:00,33,pm25,11,33,0,4,5,22
416833,Kota Bogor Tanah Sereal,2025-11-30 17:00:00,-,pm25,19,15,0,9,57,55
519124,Kabupaten Rembang Leteh,2025-12-02 11:00:00,53,pm25,16,53,0,18,5,27
519280,Kota Mojokerto Magersari,2025-12-02 11:00:00,45,pm25,15,45,0,4,3,9
416815,Bekasi Kayuringin,2025-12-02 11:00:00,69,pm25,39,69,0,57,14,8
519016,Kota Madiun Taman,2025-12-02 11:00:00,96,pm25,15,96,0,9,6,16
416842,Jakarta GBK,2025-12-02 11:00:00,50,pm25,18,50,0,22,6,5
516745,Kabupaten Jombang Kepanjen,2025-12-02 11:00:00,55,pm25,18,55,0,27,4,27
472477,Kabupaten Tangerang Curug,2025-12-02 11:00:00,5,pm25,0,0,0,2,12,5
519010,Kabupaten Lamongan,2025-11-28 08:00:00,-,pm25,44,329,0,9,0,0
531565,Jakarta Timur Kebon Nanas,2025-12-02 11:00:00,70,pm25,31,70,0,10,0,0
519007,Kabupaten Tuban,2025-12-02 11:00:00,82,pm25,33,82,0,0,0,0
519019,Kabupaten Bojonegoro,2025-12-02 11:00:00,56,pm25,20,56,0,0,18,23
